City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Berlin,Leonardo Royal Hotel Berlin Alexanderplatz,"Otto-Braun-Strasse 90, 10249 Berlin",8.5,"8,734",246,Expedia
Berlin,Mercure Hotel Berlin Wittenbergplatz,"Wittenbergplatz 3, 10789 Berlin",8.9,"2,873",244,Expedia
Berlin,Scandic Berlin Potsdamer Platz,"Gabriele-Tergit-Promenade 19, 10963 Berlin",8.5,"11,252",256,Expedia
Berlin,Limehome Berlin Malmöer Straße,Pankow,7.9,381,265,Expedia
Berlin,Two Hotel Berlin By Axel - Adults Only,"Bundesallee 31a, 10717 Berlin",8.2,"2,192",205,Expedia
Berlin,Sheraton Berlin Grand Hotel Esplanade,"Lützowufer 15, 10785 Berlin",8.2,"1,975",391,Expedia
Berlin,Nena Apartments Metropolpark Berlin - Mitte,Mitte,8.2,"1,560",339,Expedia
Berlin,Leonardo Hotel Berlin Mitte,"Bertolt-Brecht-Platz 4, 10117 Berlin",8.2,"9,426",265,Expedia
Berlin,Select Hotel Berlin The Wall,"Zimmerstrasse 88, 10117 Berlin",8.7,"2,088",196,Expedia
Berlin,Mondrian Suites Berlin Checkpoint Charlie,Kreuzberg,8.5,"2,793",238,Expedia
Berlin,Intercityhotel Berlin Hauptbahnhof,"Katharina Paulus Strasse 5, 10557 Berlin",8.3,"9,681",248,Expedia
Berlin,Steigenberger Hotel Am Kanzleramt,"Ella-Trebe-Straße 5, 10557 Berlin",8.8,"4,990",416,Expedia
Berlin,Adapt Apartments Berlin,Treptow-Köpenick,8.7,"1,048",293,Booking.com
Berlin,Hotel Indigo Berlin - KU'Damm,"Hardenbergstrasse 15, 10623 Berlin",8.6,804,234,Expedia
Berlin,The Student Hotel Berlin,"Alexanderstrasse 40, 10179 Berlin",8.7,"1,800",294,Expedia
Berlin,FeWo in Köpenick,Treptow-Köpenick,9.0,32,172,Booking.com
Berlin,NH Berlin Potsdamer Platz,"Stresemannstr. 47, 10963 Berlin",8.4,"1,672",325,Expedia
Berlin,Hotel Bristol Berlin,"Kurfuerstendamm 27, 10719 Berlin",8.1,"3,454",392,Expedia
Berlin,4 Sterne Souterrain Appartment Alt-Mariendorf,Mariendorf,9.5,54,318,Booking.com
Berlin,H10 Berlin Ku'damm,"Joachimsthaler Strasse 31-32, 10719 Berlin",8.4,"4,506",290,Expedia
